Date,Total Confirmed Cases,Total Active Cases,Total Recovered Cases,Total Deceased Cases,Total Tests Cases,Daily Confirmed Cases,Daily Active Cases,Daily Recovered Cases,Daily Deceased Cases,Daily Tests Cases,Doublin Time,Growth Rate
20-04-2020,2081,1603,431,47,25900,78,-65,141,2,1513,6.1,5.8
21-04-2020,2156,1498,611,47,26627,75,-105,180,0,727,6.1,3.6
22-04-2020,2248,1476,724,48,28309,92,-22,113,1,1682,4.9,3.6
23-04-2020,2376,1518,808,50,30560,128,42,84,2,2251,4.6,4.3
24-04-2020,2514,1604,857,53,33672,138,86,49,3,3112,4.8,5.7
25-04-2020,2625,1702,869,54,35519,111,98,12,1,1847,4.8,5.8
26-04-2020,2918,1987,877,54,37613,293,285,8,0,2094,5.2,11.1
27-04-2020,3108,2177,877,54,39911,190,190,0,0,2298,4.9,11.2
28-04-2020,3314,2182,1078,54,43370,206,5,201,0,3459,5.2,6.5
29-04-2020,3439,2291,1092,56,47225,125,109,14,2,3855,5.2,6.6
30-04-2020,3515,2362,1094,59,,76,71,2,3,,5.3,3.8
01-05-2020,3738,2510,1167,61,,223,108,73,2,,5.6,2.2
02-05-2020,4122,2802,1256,64,58210,384,292,89,3,,5.7,6.3
03-05-2020,4549,3123,1362,64,60246,427,321,106,0,2036,5.8,10.3
04-05-2020,4898,3403,1431,64,64108,349,280,69,0,3862,5.7,10.4
05-05-2020,5104,3572,1468,64,67852,206,169,37,0,3744,5.8,7.7
06-05-2020,5532,3925,1542,65,71934,428,353,74,1,4082,5.9,4.2
08-05-2020,6542,4454,2020,68,81367,338,247,89,2,4133,5.9,8.1
09-05-2020,6542,4454,2020,68,84226,224,224,0,0,2859,6.1,9.4
12-05-2020,7639,5041,2512,86,106109,406,10,383,13,8431,6.1,4.5
13-05-2020,7998,5034,2858,106,113345,359,-7,346,20,7236,6.2,5.6
14-05-2020,8470,5310,3045,115,119736,472,276,187,9,6391,6.2,4.7
15-05-2020,8895,5254,3518,123,125189,425,-56,473,8,5453,6.3,5.9
16-05-2020,9333,5278,3926,129,130845,438,24,408,6,5656,6.4,5
17-05-2020,9755,5405,4202,148,135791,422,127,276,19,4946,6.4,4.9
18-05-2020,10054,5409,4485,160,139727,299,4,283,12,3936,6.5,4.5
